사고내용
153041,2
125302,1
87915,1
170721,2
176095,2
73781,1
130514,2
110673,1
8850,3
20877,3
146178,2
150729,2
128107,1
37959,3
95137,1
89045,1
121887,1
70224,1
154456,2
17348,3
154403,2
72277,1
127007,1
161028,2
170075,2
50871,3
38523,3
98012,1
103443,1
81617,1
31733,3
94532,1
165962,2
81301,1
119131,1
169603,2
104946,1
146855,2
147281,2
81586,1
83043,1
38220,3
67491,3
103093,1
129969,2
141601,2
160841,2
12246,3
65368,3
53651,2
16243,3
93507,1
111318,1
174380,2
177593,2
18873,3
145517,2
108046,1
11246,3
140449,2
16213,3
73392,1
56719,3
141459,2
72519,1
141073,2
45306,3
100984,1
172076,2
157352,2
83989,1
66288,3
158338,2
154040,2
165470,2
24822,3
42493,3
138454,2
68561,3
25179,3
120783,1
69144,3
152150,2
7377,3
3039,3
35172,3
12110,3
164544,2
85456,1
77959,1
160747,2
86747,1
164868,2
154889,2
161675,2
107913,1
148322,2
17821,3
37299,3
87947,1
99595,1
42376,3
131989,2
23415,3
178775,2
60079,3
156685,2
126270,1
20912,3
18884,3
162931,2
138815,2
39281,3
28871,3
156739,2
81333,1
75967,1
93904,1
148114,2
15100,3
9713,3
126481,1
175356,2
13642,3
117135,1
97635,1
1039,3
50597,3
118598,1
157555,2
161209,2
159530,2
174748,2
9127,2
39895,3
29118,3
165279,2
108504,1
59696,2
126023,1
121029,1
147071,2
14630,3
119865,1
11892,3
106130,1
146835,2
108469,1
47370,3
129384,2
70950,1
125332,1
42889,2
5770,3
85106,1
118020,1
25904,3
101816,1
86433,1
67788,3
37098,3
29696,3
32081,3
36258,2
89728,1
104888,1
97521,1
34978,1
85019,1
72725,1
119124,1
160395,2
93743,1
2449,3
114239,1
146987,2
74974,1
51720,3
40301,3
154250,2
168752,2
6301,3
82004,1
36676,3
91599,1
177271,2
180439,2
142825,2
144777,2
124227,1
17541,3
99586,1
177104,2
6183,3
166648,2
35645,3
59460,1
167939,2
65573,3
121387,1
158826,2
148662,2
81262,1
36596,3
118672,1
47872,3
93922,1
26113,3
45108,3
176327,2
64282,3
70689,1
164040,2
128612,1
70900,1
81640,1
27176,3
708,3
105649,1
110900,1
124163,1
60618,3
170772,2
11828,2
174034,2
111069,1
38749,3
83710,1
45327,3
125856,1
171173,2
127787,1
70215,1
120997,1
22366,3
98067,1
27122,3
100099,1
61411,3
86425,1
70719,1
156213,2
67863,3
147411,2
46499,3
72146,1
40853,3
173172,2
20339,3
62852,2
10408,3
130956,2
165568,2
78953,1
117635,1
172021,2
166422,2
115191,1
106576,1
29104,3
170417,2
60592,3
160523,2
91696,1
5799,3
83656,1
19606,3
96708,1
103120,1
159233,2
116043,1
14639,2
145338,2
44084,3
166679,2
87500,1
62196,3
128067,1
136177,2
110430,1
105938,1
170779,2
50343,3
79673,1
90078,1
110010,1
60953,3
155060,2
159801,2
32900,3
108527,1
67478,3
157231,2
140899,2
134280,2
158693,2
41129,3
62433,2
10042,3
84680,1
57712,3
112085,1
135292,2
18267,3
27567,2
175613,2
54999,3
106268,1
166119,2
162579,2
85994,1
65485,3
178960,2
84850,1
90606,1
116280,1
61471,3
109357,1
110654,1
36353,3
177327,2
28642,3
126804,1
167563,2
168227,2
144995,2
71944,1
16637,3
46126,3
118619,1
141739,2
157503,2
38142,3
42048,3
94954,1
7102,3
91037,1
32180,3
156585,2
83,3
126094,1
28000,3
89007,1
79654,1
161117,2
143154,2
88168,1
10926,3
121185,1
167285,2
41631,2
78181,1
42479,3
131616,2
81888,1
176051,2
28300,3
169098,2
136072,2
67856,3
150940,2
63840,3
128153,1
36098,3
117384,1
89057,1
76619,1
139862,2
148374,2
121120,1
165914,2
119898,1
173223,2
28900,3
147335,2
62831,3
162498,2
8161,2
159154,2
109105,1
17515,3
139031,2
112571,1
71157,1
159341,2
2324,3
97551,1
20304,3
66105,2
177932,2
24255,3
141402,2
34940,3
62546,3
44707,3
178444,2
29018,3
13350,3
65903,3
66272,3
171146,2
49107,2
89213,1
104213,1
47100,3
133499,2
16261,3
